birdName,birdPrice,birdUrl,birdSet
"Limited Edition #1791",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001791",goldtrim
"Limited Edition #1801",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001801",2600
"Limited Edition #1825",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001825",1f30a
"Limited Edition #1844",301,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001844",1f48e
"Limited Edition #1854",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001854",2600
"Limited Edition #1956",175,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001956",1f30a
"Limited Edition #1961",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001961",2694-fe0f
"Limited Edition #1964",255,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00001964",1f9df
"Limited Edition #2294",750,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00002294",1f30a
"Limited Edition #3040",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003040",1f9df
"Limited Edition #3067",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003067",1f525
"Limited Edition #3111",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003111",1f4a7
"Limited Edition #3158",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003158",1f48e
"Limited Edition #3193",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003193",1f409
"Limited Edition #3206",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003206",1f30a
"Limited Edition #3242",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003242",goldtrim
"Limited Edition #3258",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003258",1f30a
"Limited Edition #3287",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003287",1f98b
"Limited Edition #3430",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003430",1f30a
"Limited Edition #3457",201,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003457",polkadot
"Limited Edition #3505",0,"https://kanaria.rmrk.app/catalogue/8949162-e0b9bdcc456a36497a-KANBIRD-KANL-00003505",polkadot
"Limited Edition #3601",0,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00003601",1f4a7
"Limited Edition #3666",201,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00003666",1f98b
"Limited Edition #3688",0,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00003688",1f30a
"Limited Edition #3702",0,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00003702",1f32a-fe0f
"Limited Edition #3764",0,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00003764",1fa78
"Limited Edition #3803",0,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00003803",1f9be
"Limited Edition #3810",2501,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00003810",1f916
"Limited Edition #3878",0,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00003878",1f525
"Limited Edition #3880",0,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00003880",1f30a
"Limited Edition #3911",0,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00003911",1f48e
"Limited Edition #6823",201,"https://kanaria.rmrk.app/catalogue/8949167-e0b9bdcc456a36497a-KANBIRD-KANL-00006823",1f916
"Limited Edition #7007",0,"https://kanaria.rmrk.app/catalogue/8949171-e0b9bdcc456a36497a-KANBIRD-KANL-00007007",1f916
"Limited Edition #8000",0,"https://kanaria.rmrk.app/catalogue/8949171-e0b9bdcc456a36497a-KANBIRD-KANL-00008000",1f98b
"Limited Edition #8787",0,"https://kanaria.rmrk.app/catalogue/8949171-e0b9bdcc456a36497a-KANBIRD-KANL-00008787",1f30a
"Limited Edition #9000",0,"https://kanaria.rmrk.app/catalogue/8949171-e0b9bdcc456a36497a-KANBIRD-KANL-00009000",1f4a7
"Limited Edition #9888",0,"https://kanaria.rmrk.app/catalogue/8949171-e0b9bdcc456a36497a-KANBIRD-KANL-00009888",1f48e
"Limited Edition #9997",1301,"https://kanaria.rmrk.app/catalogue/8949171-e0b9bdcc456a36497a-KANBIRD-KANL-00009997",huginn
